 State,HS Perc,BS Perc,ADV Perc,Per Capita Income,Median HH Income,Median Family Income,Population,Num HH,Num Family,2018,2017,2016,2015,2014,P2020
 Alabama ,85.3,24.5,9.1,23606,42830,53764,4849377,1841217,1232515,49861,48123,46257,44765,42830,R
 Alaska ,92.4,29,10.4,33062,71583,82307,736732,249659,165015,74346,73181,76440,73355,71583,R
 Arizona ,86.5,28.4,10.7,25715,50068,59700,6731484,2428743,1579481,59246,56581,53558,51492,50068,D
 Arkansas ,85.6,22,7.9,22883,41262,51528,2966369,1131288,752212,47062,45869,44334,41995,41262,R
 California ,82.5,32.6,12.2,30441,61933,71015,38802500,12758648,8762059,75277,71805,67739,64500,61933,D
 Colorado ,91.1,39.4,14.6,32357,61303,75405,5355866,2039592,1315283,71953,69117,65685,63909,61303,D
 Connecticut ,90.2,38.4,17,39373,70048,88819,3596677,1355817,887263,76348,74168,73433,71346,70048,D
 Delaware ,89.3,31,12.9,30488,59716,72594,935614,349743,233000,64805,62852,61757,61255,59716,D
 Florida ,87.6,28.5,10.3,26582,47463,57212,19893297,7328046,4693411,55462,52594,50860,49426,47463,R
 Georgia ,86.3,29.9,11.4,25615,49321,58885,10097343,3587521,2426392,58756,56183,53559,51244,49321,D
 Hawaii ,91.6,32,10.8,29736,69592,79187,1419561,450769,314151,80212,77765,74511,73486,69592,D
 Idaho ,90.2,26.8,8.5,23938,47861,58101,1634464,591587,407499,55583,52225,51807,48275,47861,R
 Illinois ,88.6,33.4,13,30417,57444,71796,12880580,4772421,3099184,65030,62992,60960,59588,57444,D
 Indiana ,88.3,25.3,9.2,25140,49446,60780,6596855,2502739,1657223,55746,54181,52314,50532,49446,R
 Iowa ,91.8,27.7,9,28361,53712,67771,3107126,1241471,801562,59955,58570,56247,54736,53712,R
 Kansas ,90.5,32.3,11.7,27870,52504,66425,2904021,1109280,728602,58218,56422,54935,53906,52504,R
 Kentucky ,85.2,23.2,9.6,23684,42958,54776,4413457,1712094,1124586,50247,48375,46659,45215,42958,R
 Louisiana ,84.3,23.4,8.1,24800,44555,56573,4649676,1718194,1112659,47905,46145,45146,45727,44555,R
 Maine ,92.1,30.3,10.9,27978,49462,62078,1330089,549841,344585,55602,55277,53079,51494,49462,D
 Maryland ,89.8,39,18,36338,73971,89678,5976407,2165438,1445972,83242,80776,78945,75847,73971,D
 Massachusetts ,90.3,42.1,18.7,36593,71919,88419,6938608,3194844,2203675,79835,77385,75297,70628,69160,D
 Michigan ,90.2,28.1,11,26613,49847,62143,9909877,3834574,2485159,56697,54909,52491,51084,49847,D
 Minnesota ,92.8,34.8,11.8,32638,61481,77941,5457173,2129195,1369594,70315,68388,65599,63488,61481,D
 Mississippi ,83.4,21.3,8,21036,39680,50178,2994079,1095823,738463,44717,43529,41754,40593,39680,R
 Missouri ,89.2,28.2,10.7,26126,48363,61299,6063589,2354809,1508816,54478,53578,51746,50238,48363,R
 Montana ,93,30.7,10.1,25989,46328,60643,1023579,410962,251176,55328,53386,50027,49509,46328,R
 Nebraska ,90.9,30.6,10.2,27446,52686,66120,1881503,740765,480317,59566,59970,56927,54996,52686,R
 Nevada ,85.8,23.7,8.1,25773,51450,60824,2839099,1021519,642461,58646,58003,55180,52431,51450,D
 New Hampshire ,92.8,36,13.8,34691,66532,80581,1326813,519756,345901,74991,73381,70936,70303,66532,D
 New Jersey ,89.2,38.1,14.7,37288,69160,87951,8938175,2549336,1610581,81740,80088,76126,72222,71919,D
 New Mexico ,85,26.9,11.8,23683,44803,54705,2085572,760916,489532,47169,46744,46748,45382,44803,D
 New York ,86.1,35.3,15.4,33095,58878,71115,19746227,7282398,4621954,67844,64894,62909,60850,58878,D
 North Carolina ,86.9,29.9,10.6,25774,46556,57380,9943964,3790620,2492048,53855,52752,50584,47830,46556,R
 North Dakota ,92.3,28.9,7.8,33071,59029,75221,739482,305431,187800,63837,61843,60656,60557,59029,R
 Ohio ,89.8,27.2,10.2,26937,49308,62300,11594163,4593172,2923523,56111,54021,52344,51075,49308,R
 Oklahoma ,87.5,24.8,8.3,25229,47529,58710,3878051,1459759,966516,51924,50051,49176,48568,47529,R
 Oregon ,90.2,32.3,12.2,27646,51075,62670,3970239,1535511,966250,63426,60212,57532,54148,51075,D
 Pennsylvania ,89.9,30.1,11.8,29220,53234,67876,12787209,4945972,3185054,60905,59105,56907,55702,53234,D
 Rhode Island ,87.3,33,13.1,30830,54891,71212,1055173,409654,257165,64340,63870,60596,58073,54891,D
 South Carolina ,86.5,27,9.8,24596,45238,56491,4832482,1826914,1201616,52306,50570,49501,47238,45238,R
 South Dakota ,91.4,27.8,8.3,26959,50979,66936,853175,334475,211235,56274,56521,54467,53017,50979,R
 Tennessee ,86.5,26.1,9.6,24922,44361,55557,6549352,2509665,1660344,52375,51340,48547,47275,44361,R
 Texas ,82.8,28.7,9.9,27125,53035,62830,26956958,9277197,6407165,60629,59206,56565,55653,53035,R
 Utah ,91.8,32.5,11,24877,60922,69535,2942902,918370,691495,71414,65358,65977,62912,60922,R
 Vermont ,92.3,36.8,15,29178,54166,67154,626562,257229,162017,60782,57513,57677,56990,54166,D
 Virginia ,89,37.6,16.1,34052,64902,78290,8326289,3083820,2058820,72577,71535,68114,66262,64902,D
 Washington ,90.8,34.5,12.7,31841,61366,74193,7061530,2679601,1725099,74073,70979,67106,64129,61366,D
 West Virginia ,85.9,19.9,7.9,22714,41059,52413,1850326,735375,472869,44097,43469,43385,42019,41059,R
 Wisconsin ,91.7,29,9.9,28213,52622,67187,5757564,2307685,1485877,60773,59305,56811,55638,52622,D
 Wyoming ,92.8,26.7,9.3,29698,57055,72460,584153,232594,149032,61584,60434,59882,60214,57055,R
